A1A6H3	6ILR;6ILS;6ILT;	RBSK At1g17160 F20D23.14 Ribokinase, AtRBSK, RK, EC 2.7.1.15
Q9C5U0	3T4J;3T4K;3T4L;3T4O;3T4Q;3T4S;3T4T;7P8C;7P8D;	AHK4 CRE1 RAW1 WOL At2g01830 T23K3.2 Histidine kinase 4, EC 2.7.13.3 (Arabidopsis histidine kinase 4, AtHK4) (Cytokinin receptor CYTOKININ RESPONSE 1, AtCRE1, Cytokinin receptor CRE1) (Phosphoprotein phosphatase AHK4, EC 3.1.3.16) (Protein AUTHENTIC HIS-KINASE 4) (Protein ROOT AS IN WOL 1) (Protein WOODEN LEG)
Q9C6B3	7AQQ;7AR8;7ARB;	GAMMACA2 APFI At1g47260 F8G22.2 Gamma carbonic anhydrase 2, mitochondrial, AtCA2, GAMMA CA2, EC 4.2.1.- (Transcription factor APFI)
Q9C6D2	2PYW;	MTK At1g49820 F10F5.1 Methylthioribose kinase, AtMTK, MTR kinase, EC 2.7.1.100
Q9C8E7	6R85;6R88;6R89;6R8A;	GLR3.3 At1g42540 T8D8.1 Glutamate receptor 3.3, AtGLR3.3 (Glutamate receptor-like protein 3.3) (Ligand-gated ion channel 3.3)
Q9C8L4	2GCU;	GLY3 At1g53580 F22G10.9 T3F20.11 Persulfide dioxygenase ETHE1 homolog, mitochondrial, EC 1.13.11.18 (Glyoxalase II, Glx II) (Sulfur dioxygenase ETHE1)
Q9C9C9	5MEK;5MEX;	SOT18 ST5B At1g74090 F2P9.4 Cytosolic sulfotransferase 18, AtSOT18, EC 2.8.2.38 (Desulfo-glucosinolate sulfotransferase B) (Sulfotransferase 5B, AtST5b)
Q9C9G4	3W52;4CWM;4CXO;4CXP;4CXV;	ENDO2 At1g68290 T22E19.8 Endonuclease 2, AtENDO2, EC 3.1.30.1 (Deoxyribonuclease ENDO2) (Single-stranded-nucleate endonuclease ENDO2)
Q9C9Q4	3AG7;	JAC1 At1g75100 F9E10.5 J domain-containing protein required for chloroplast accumulation response 1
Q9CA40	5GP0;5WWD;5WY6;6DBY;6DBZ;6FL4;	NUDT1 NUDX1 At1g68760 F14K14.13 Nudix hydrolase 1, AtNUDT1 (7,8-dihydro-8-oxoguanine-triphosphatase) (8-oxo-dGTP diphosphatase, 8-oxo-dGTPase, EC 3.6.1.55) (Dihydroneopterin triphosphate diphosphatase, EC 3.6.1.67) (Dihydroneopterin triphosphate pyrophosphohydrolase, DHNTP pyrophosphohydrolase) (NADH pyrophosphatase, EC 3.6.1.22)
Q9CA59	5DAY;7BP6;7C7X;	NRP1 NFA6 At1g74560 F1M20.24 NAP1-related protein 1 (Nucleosome/chromatin assembly factor group A6) (Protein SET homolog 1)
Q9CAJ0	3KB3;3NMT;3QN1;3RT0;3UJG;3ZVU;4DS8;4LA7;4LG5;4LGA;4LGB;4WVO;5JO1;5JO2;5MN0;5OR2;5OR6;5VR7;5VRO;5VS5;5VSQ;5VSR;5VT7;6ZUC;	HAB1 P2C-HA At1g72770 F28P22.4 Protein phosphatase 2C 16, AtPP2C16, EC 3.1.3.16 (AtP2C-HA) (Protein HYPERSENSITIVE TO ABA 1) (Protein phosphatase 2C HAB1, PP2C HAB1)
Q9CAK8	2PMP;	ISPF MCS MDS At1g63970 F22C12.26 T12P18.1 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase, chloroplastic, MECDP-synthase, MECPS, MECS, EC 4.6.1.12
Q9FE22	6QTV;	HFR1 BHLH26 EN68 FBI1 REP1 RSF1 At1g02340 T6A9.4 T6A9_13 Transcription factor HFR1 (Basic helix-loop-helix protein 26, AtbHLH26, bHLH 26) (Protein LONG HYPOCOTYL IN FAR-RED 1) (Protein REDUCED PHYTOCHROME SIGNALING) (Reduced sensitivity to far-red light) (Transcription factor EN 68) (bHLH transcription factor bHLH026)
Q9FE63	6IQF;6IQK;	PRF3 PRO5 At5g56600 MIK19.4 Profilin-3 (AtPRF3) (AthPRF3)
Q9FEB5	3NME;4PYH;	DSP4 PTPKIS1 SEX4 At3g52180 F4F15.290 Phosphoglucan phosphatase DSP4, chloroplastic, EC 3.1.3.- (AtPTPKIS1) (Dual specificity protein phosphatase 4) (Protein STARCH-EXCESS 4, AtSEX4)
Q9FFF6	6LSV;	JOX2 JAO2 At5g05600 MOP10.14 Jasmonate-induced oxygenase 2, EC 1.14.11.- (2-oxoglutarate-dependent dioxygenase JOX2) (Jasmonic acid oxidase 2)
Q9FG77	6J4F;	WRKY2 At5g56270 K24C1.9 MXK23.1 Probable WRKY transcription factor 2 (WRKY DNA-binding protein 2)
Q9FGI6	7A23;7A24;7AQR;7AR8;7ARB;	EMB1467 At5g37510 MPA22.5 NADH dehydrogenase [ubiquinone] iron-sulfur protein 1, mitochondrial, EC 7.1.1.2 (Protein EMBRYO DEFECTIVE 1467)
Q9FGJ3	6R0M;6R0N;6R2V;7CVQ;	NFYB2 HAP3B At5g47640 MNJ7.23 Nuclear transcription factor Y subunit B-2, AtNF-YB-2, AtNF-YB2 (Transcriptional activator HAP3B)
Q9FGQ2	5XPD;	SWEET13 At5g50800 K7B16.1 Bidirectional sugar transporter SWEET13, AtSWEET13 (Protein SUGARS WILL EVENTUALLY BE EXPORTED TRANSPORTERS 13)
Q9FHD7	4I92;4I93;4I94;	BSK8 At5g41260 K1O13.5 Serine/threonine-protein kinase BSK8, EC 2.7.11.1 (Brassinosteroid-signaling kinase 8)
Q9FHN8	3H4S;4FRZ;	KIN14E KCBP ZWI At5g65930 K14B20.10 Kinesin-like protein KIN-14E (Kinesin-like calmodulin-binding protein) (Protein ZWICHEL)
Q9FHP6	5A52;	CAR1 At5g37740 K12B20.22 Protein C2-DOMAIN ABA-RELATED 1
Q9FI21	5D79;	At5g44440 MFC16.10 Berberine bridge enzyme-like 28, AtBBE-like 28, EC 1.1.1.-
Q9FI46	6LIX;6LIY;	CRL CAA33 At5g51020 K3K7.20 Chromophore lyase CRL, chloroplastic, EC 4.-.-.- (Protein CONSTITUTIVE ACTIVATOR OF AAA-ATPase 33) (Protein CRUMPLED LEAF)
Q9FI56	5GUI;	CLPC1 DCA1 HSP93-V IRM1 At5g50920 K3K7.7 Chaperone protein ClpC1, chloroplastic (ATP-dependent Clp protease ATP-binding subunit ClpC homolog 1) (Casein lytic proteinase C1) (Protein DE-REGULATED CAO ACCUMULATION 1) (Protein IRON-RESCUED MUTANT 1)
Q9FI78	5KJS;5KJT;5KJU;	HST HCT At5g48930 K19E20.4 Shikimate O-hydroxycinnamoyltransferase, EC 2.3.1.133 (Hydroxycinnamoyl transferase, AtHCT) (Hydroxycinnamoyl-Coenzyme A shikimate/quinate hydroxycinnamoyltransferase)
Q9FIC3	2MM9;2MMA;4PUH;	BOLA2 At5g09830 MYH9.4 Protein BOLA2
Q9FIG9	5D9R;5GTB;5HAD;	ARC6 At5g42480 MDH9.18 Protein ACCUMULATION AND REPLICATION OF CHLOROPLASTS 6, chloroplastic, AtARC6
Q9FII5	5GIJ;5GQR;5GR9;5JFI;5JFK;	TDR PXY At5g61480 MCI2.4 Leucine-rich repeat receptor-like protein kinase TDR, EC 2.7.11.1 (Protein PHLOEM INTERCALATED WITH XYLEM) (Tracheary element differentiation inhibitory factor receptor, AtTDR, TDIF receptor)
Q9FIP9	4RQW;4RRU;4RS9;4YWC;4YZ6;5T0F;5T0Q;	MYC3 ATR2 BHLH5 EN36 At5g46760 MZA15.18 Transcription factor MYC3 (Basic helix-loop-helix protein 5, AtbHLH5, bHLH 5) (Protein ALTERED TRYPTOPHAN REGULATION 2) (Transcription factor ATR2) (Transcription factor EN 36) (bHLH transcription factor bHLH005)
Q9FJW4	7A23;7A24;7AQR;7AR8;7ARB;	FRO1 At5g67590 K9I9.16 NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial (Protein FROSTBITE1)
Q9FK13	5U9O;6JZN;	PDV1 At5g53280 K19E1.8 Plastid division protein PDV1 (Protein PLASTID DIVISION1)
Q9FK51	1Z84;1ZWJ;2H39;2Q4H;2Q4L;	At5g18200 MRG7.16 ADP-glucose phosphorylase, EC 2.7.7.- (ADP-glucose:phosphate adenylyltransferase)
Q9FKP8	1WH5;	ZHD1 HB25 ZFHD2 At5g65410 MNA5.14 Zinc-finger homeodomain protein 1, AtZHD1 (Homeobox protein 25, AtHB-25) (Zinc finger homeodomain transcription factor 2)
Q9FKT1	6A5D;	LLG1 At5g56170 MDA7.23 GPI-anchored protein LLG1 (LORELEI-like-GPI-anchored protein 1)
Q9FKW0	5XVW;5Y21;	RING1A RF434 At5g44280 K9L2.3 Putative E3 ubiquitin-protein ligase RING1a, EC 2.3.2.27 (Polycomb complex protein RING1a) (Protein RING1a, AtRING1a) (RING-type E3 ubiquitin transferase RING1a) (Ring finger protein 434)
Q9FL12	5IL9;5ILA;5ILB;5JYK;5Y09;	DEGP9 At5g40200 MSN9.10 MSN9.100 Protease Do-like 9, EC 3.4.21.-
Q9FL28	4MN8;4MNA;	FLS2 At5g46330 MPL12.13 MPL12.8 LRR receptor-like serine/threonine-protein kinase FLS2, EC 2.7.11.1 (Protein FLAGELLIN-SENSING 2) (Protein FLAGELLIN-SENSITIVE 2)
Q9FLB1	4JDL;	PYL5 ABIP3 RCAR8 At5g05440 K18I23.25 Abscisic acid receptor PYL5 (ABI1-binding protein 3) (PYR1-like protein 5) (Regulatory components of ABA receptor 8)
Q9FLI7	3S2Q;3S2R;	NEET At5g51720 MIO24.14 CDGSH iron-sulfur domain-containing protein NEET, At-NEET
Q9FLN8	3B5I;	IAMT1 At5g55250 MCO15.20 Indole-3-acetate O-methyltransferase 1, EC 2.1.1.278 (IAA carboxylmethyltransferase 1) (S-adenosyl-L-methionine:(indol-3-yl) acetate carboxylmethyltransferase 1)
Q9FMD5	2LNM;	TIC40 PDE120 At5g16620 MTG13.6 Protein TIC 40, chloroplastic (Protein PIGMENT DEFECTIVE EMBRYO 120) (Translocon at the inner envelope membrane of chloroplasts 40, AtTIC40)
Q9FME4	6XYW;	PNM1 At5g60960 MSL3.8 Pentatricopeptide repeat-containing protein PNM1, mitochondrial (PPR PROTEIN LOCALIZED TO THE NUCLEUS AND MITOCHONDRIA 1)
Q9FMT4	1V31;	At5g14170 MUA22.17 SWI/SNF complex component SNF12 homolog
Q9FMV5	7CVO;	NFYC4 At5g63470 MLE2.10 Nuclear transcription factor Y subunit C-4, AtNF-YC-4
Q9FMZ0	4OH4;4Q5J;	BKI1 At5g42750 MJB21.13 BRI1 kinase inhibitor 1
Q9FN03	4D9S;4DNU;4DNV;4DNW;4NAA;4NBM;4NC4;6DD7;6QTQ;6QTS;6XZL;6XZM;6XZN;	UVR8 At5g63860 MGI19.7 Ultraviolet-B receptor UVR8 (Protein UV-B RESISTANCE 8) (RCC1 domain-containing protein UVR8)
Q9FNB0	5EWU;	CHLH ABAR CCH GUN5 RTL1 At5g13630 MSH12.9 Magnesium-chelatase subunit ChlH, chloroplastic, Mg-chelatase subunit H, EC 6.6.1.1 (ABA-binding protein) (Mg-protoporphyrin IX chelatase subunit ChlH) (Protein CONDITIONAL CHLORINA) (Protein GENOMES UNCOUPLED 5) (Protein RAPID TRANSPIRATION IN DETACHED LEAVES 1)
Q9FNG3	1VK0;2Q3S;	RICE2 DECP At5g06450 MHF15.3 Protein RISC-INTERACTING CLEARING 3'-5' EXORIBONUCLEASE 2, EC 3.1.13.1 (DnaQ-like 3'-5' exonuclease domain-containing protein, AtDECP)
Q9FR44	5WP4;	NMT1 PEAMT XPL1 At3g18000 MEB5.22 Phosphoethanolamine N-methyltransferase 1, AtNMT1, PEAMT 1, EC 2.1.1.103 (Protein XIPOTL 1)
Q9FRL8	5LOL;	DHAR2 DHAR At1g75270 F22H5.1 Glutathione S-transferase DHAR2, EC 2.5.1.18 (Chloride intracellular channel homolog 2, CLIC homolog 2) (Glutathione-dependent dehydroascorbate reductase 2, AtDHAR2, CytDHAR, GSH-dependent dehydroascorbate reductase 2, EC 1.8.5.1)
Q9FUP0	1Q45;2G5W;2Q3O;	OPR3 DDE1 At2g06050 F5K7.19 12-oxophytodienoate reductase 3, EC 1.3.1.42 (12-oxophytodienoate-10,11-reductase 3, AtOPR3, OPDA-reductase 3) (Protein DELAYED DEHISCENCE 1) [Cleaved into: 12-oxophytodienoate reductase 3, N-terminally processed ]
Q9FUZ2	3CPM;3M6O;3M6P;3M6Q;3M6R;3O3J;3PN2;3PN3;3PN4;3PN5;3PN6;	PDF1B DEF2 At5g14660 T15N1_150 Peptide deformylase 1B, chloroplastic/mitochondrial, AtDEF2, AtPDF1B, PDF 1B, EC 3.5.1.88 (Polypeptide deformylase)
Q9FV53	1ZXZ;1ZY0;1ZY1;4JE6;4JE7;4JE8;	PDF1A DEF1 At1g15390 F9L1.34 F9L1_34 Peptide deformylase 1A, chloroplastic/mitochondrial, AtDEF1, AtPDF1A, PDF 1A, EC 3.5.1.88 (Polypeptide deformylase)
Q9FVQ6	7CS9;7CSA;7CSB;7CSC;7CSD;7CSE;7CSF;	PRR1 PLR1 At1g32100 F3C3.10 Pinoresinol reductase 1, AtPrR1 ((+)-pinoresinol reductase, EC 1.23.1.1) ((-)-pinoresinol reductase, EC 1.23.1.3) (Pinoresinol-lariciresinol reductase 1, AtPLR1)
Q9FWR4	5EL8;5ELA;5ELG;	DHAR1 DHAR5 At1g19570 F14P1.9 F18O14.22 Glutathione S-transferase DHAR1, mitochondrial, EC 2.5.1.18 (Chloride intracellular channel homolog 1, CLIC homolog 1) (Glutathione-dependent dehydroascorbate reductase 1, AtDHAR1, GSH-dependent dehydroascorbate reductase 1, mtDHAR, EC 1.8.5.1)
Q9FX53	2EBI;2JMW;	GT-1 At1g13450 T6J4.18 Trihelix transcription factor GT-1 (Trihelix DNA-binding protein GT-1)
Q9LDC0	2F4E;2IF4;	FKBP42 TWD1 UCU2 At3g21640 MIL23.21 Peptidyl-prolyl cis-trans isomerase FKBP42, PPIase FKBP42, EC 5.2.1.8 (42 kDa peptidyl-prolyl isomerase) (FK506-binding protein 42, AtFKBP42) (Immunophilin FKBP42) (Protein TWISTED DWARF 1) (Protein ULTRACURVATA 2) (Rotamase)
Q9LDI3	2EHB;4D28;	CIPK24 SnRK3.11 SOS2 At5g35410 F6I13.1 K21B8.3 CBL-interacting serine/threonine-protein kinase 24, EC 2.7.11.1 (Protein SALT OVERLY SENSITIVE 2) (SNF1-related kinase 3.11)
Q9LF79	2M73;4AQR;	ACA8 At5g57110 MUL3.5 Calcium-transporting ATPase 8, plasma membrane-type, EC 7.2.2.10 (Ca(2+)-ATPase isoform 8)
Q9LFG2	3EJX;3EKM;	DAPF At3g53580 F4P12.280 Diaminopimelate epimerase, chloroplastic, DAP epimerase, EC 5.1.1.7
Q9LFT6	3DQZ;6COB;6COC;6COD;6COE;6COF;6COG;6COH;6COI;	HNL MES5 At5g10300 F18D22_70 Alpha-hydroxynitrile lyase, AtHNL, EC 4.1.2.10 ((R)-hydroxynitrile lyase) ((R)-oxynitrilase) (Methylesterase 5, AtMES5)
Q9LFU9	3T90;	GNA1 At5g15770 F14F8.150 Glucosamine 6-phosphate N-acetyltransferase, EC 2.3.1.4 (Glucose-6-phosphate acetyltransferase 1, AtGNA1) (Phosphoglucosamine acetylase) (Phosphoglucosamine transacetylase) (Protein LIGNESCENS)
Q9LHN8	4XAE;	F6'H1 At3g13610 K20M4.5 Feruloyl CoA ortho-hydroxylase 1, EC 1.14.11.61
Q9LIR4	5YM0;5ZE4;	DHAD At3g23940 F14O13.13 Dihydroxy-acid dehydratase, chloroplastic, AthDHAD, DAD, EC 4.2.1.9
Q9LJL3	2FGE;	PREP1 ZNMP1 At3g19170 MVI11.6 MVI11.7 MVI11_8 Presequence protease 1, chloroplastic/mitochondrial, AtPreP1, PreP 1, EC 3.4.24.- (Zinc metalloprotease 1, AtZnMP1)
Q9LJY2	5E8K;	At3g20160 MAL21.19 Geranylgeranyl pyrophosphate synthase 10, mitochondrial, GGPP synthase 10, GGPS10, EC 2.5.1.- ((2E,6E)-farnesyl diphosphate synthase 10) (Dimethylallyltranstransferase 10, EC 2.5.1.1) (Farnesyl diphosphate synthase 10) (Farnesyltranstransferase 10, EC 2.5.1.29) (Geranyltranstransferase 10, EC 2.5.1.10)
Q9LK40	7EU0;7EU1;	NRPD2 DMS2 DRD2 NRPD2a NRPE2 RPD2a At3g23780 MYM9.13 DNA-directed RNA polymerases IV and V subunit 2, EC 2.7.7.6 (DNA-directed RNA polymerase D subunit 2a, AtNRPD2a, Nuclear RNA polymerase D 2a) (Nuclear RNA polymerase E 2) (Protein DEFECTIVE IN MERISTEM SILENCING 2) (Protein DEFECTIVE IN RNA-DIRECTED DNA METHYLATION 2) (RNA polymerase IV subunit 2a, POL IV 2a)
Q9LKB9	7DHW;	XI-2 MYA2 At5g43900 F6B6.4 Myosin-6 (AtMYA2)
Q9LMA8	3OGK;3OGL;3OGM;4YZ6;	TIFY10A JAZ1 At1g19180 T29M8.5 Protein TIFY 10A (Jasmonate ZIM domain-containing protein 1)
Q9LNE6	6IJ7;6IJ9;6IJA;6IJD;	UGT89C1 At1g06000 T21E18.5 Flavonol 7-O-rhamnosyltransferase, EC 2.4.1.- (UDP-glycosyltransferase 89C1) (UDP-rhamnose: flavonol 7-O-rhamnosyltransferase)
Q9LPZ1	5GI0;5IWB;5IWW;5MPY;	MORF9 RIP9 At1g11430 T23J18.10 Multiple organellar RNA editing factor 9, chloroplastic (RNA editing-interacting protein 9)
Q9LQ04	4QQR;	NRS/ER At1g63000 F16P17.17 Bifunctional dTDP-4-dehydrorhamnose 3,5-epimerase/dTDP-4-dehydrorhamnose reductase, EC 1.1.1.133, EC 5.1.3.13 (dTDP-L-rhamnose synthase)
Q9LQF2	6TTJ;	CINV1 INVG At1g35580 F15O4.33 Alkaline/neutral invertase CINV1, AtCINV1, EC 3.2.1.26 (Alkaline/neutral invertase G, A/N-INVG) (Cytosolic invertase 1, AtCYT-INV1)
Q9LQQ4	6M2M;7BP2;7BP4;7BP5;7BP6;7C7X;	At1g07790 F24B9.10 Histone H2B.1, HTB1
Q9LQT8	2ZSH;2ZSI;	GAI RGA2 At1g14920 F10B6.34 DELLA protein GAI (GRAS family protein 3, AtGRAS-3) (Gibberellic acid-insensitive mutant protein) (Restoration of growth on ammonia protein 2)
Q9LR64	5X56;	PSB27-1 At1g03600 F21B7.14 F21B7.21 F21B7.22 F21B7_140 Photosystem II repair protein PSB27-H1, chloroplastic, Psb27-H1 (Thylakoid lumenal protein PSB27-H1)
Q9LSI9	4L68;6FG7;	BIR2 At3g28450 MFJ20.14 Inactive LRR receptor-like serine/threonine-protein kinase BIR2 (Protein BAK1-INTERACTING RECEPTOR-LIKE KINASE 2)
Q9LSV0	3DOJ;	GLYR1 GR1 At3g25530 MWL2.18 Glyoxylate/succinic semialdehyde reductase 1, AtGLYR1, AtGR1, SSA reductase 1, EC 1.1.1.79, EC 1.1.1.n11 (Gamma-hydroxybutyrate dehydrogenase, AtGHBDH)
Q9LT15	6H7D;7AAQ;7AAR;	STP10 At3g19940 MPN9.19 Sugar transport protein 10, AtSTP10 (D-glucose-H(+) symport protein STP10) (D-glucose-proton symporter STP10) (Hexose transporter 10)
Q9LT31	2EFC;2EFD;2EFE;2EFH;4G01;	VPS9A VPS9 At3g19770 MMB12.26 Vacuolar protein sorting-associated protein 9A, AtVPS9a
Q9LTJ1	7D8K;7FEF;	MBD6 At5g59380 F2O15.4 Methyl-CpG-binding domain-containing protein 6, AtMBD6, MBD06 (Methyl-CpG-binding protein MBD6)
Q9LU10	4IC6;	DEGP8 At5g39830 K13H13.1 Protease Do-like 8, chloroplastic, EC 3.4.21.-
Q9LU39	4N7R;5CHE;5YJL;	GLUTRBP PGR7 At3g21200 MXL8.5 Glutamyl-tRNA reductase-binding protein, chloroplastic, AtGluTRBP, GluTR-binding protein (Protein PROTON GRADIENT REGULATION 7)
Q9LU64	7BJK;	FSD2 APG8 At5g51100 MWD22.4 Superoxide dismutase [Fe] 2, chloroplastic, EC 1.15.1.1 (Protein ALBINO OR PALE GREEN 8) (Protein FE SUPEROXIDE DISMUTASE 2)
Q9LUD9	5E8H;	GGPP3 At3g14550 MIE1.5 Geranylgeranyl pyrophosphate synthase 3, chloroplastic, GGPP synthase 3, GGPS3, EC 2.5.1.- ((2E,6E)-farnesyl diphosphate synthase 3) (Dimethylallyltranstransferase 3, EC 2.5.1.1) (Farnesyl diphosphate synthase 3) (Farnesyltranstransferase 3, EC 2.5.1.29) (Geranyltranstransferase 3, EC 2.5.1.10)
Q9LUJ3	1VK5;2Q3T;3GAN;6OIS;6OIT;	RDM1 At3g22680 MWI23.5 Protein RDM1 (Protein RNA-directed DNA methylation 1)
Q9LUT0	5XD6;	CARK1 At3g17410 MGD8.25 Receptor-like cytoplasmic kinase 1, EC 2.7.11.1
Q9LV87	5GR8;	PEP1 PROPEP1 At5g64900 MXK3.13 Elicitor peptide 1
Q9LVA9	6XYW;	GCD1 At5g62270 MMI9.10 Protein GAMETE CELL DEFECTIVE 1, mitochondrial, AtGCD1
Q9LVH4	4V29;5A4X;5A50;5A51;	CAR4 C2 GAP1 At3g17980 MEB5.18 Protein C2-DOMAIN ABA-RELATED 4 (C2 domain-containing protein, AtC2) (GTPase activating protein 1, AtGAP1)
Q9LVM5	2Q37;	TTL At5g58220 MCK7.9 Uric acid degradation bifunctional protein TTL (Transthyretin-like protein) [Includes: 2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase, OHCU decarboxylase, EC 4.1.1.97; 5-hydroxyisourate hydrolase, HIU hydrolase, HIUHase, EC 3.5.2.17 ]
Q9LW31	6J9B;	FUS3 At3g26790 MDJ14.4 B3 domain-containing transcription factor FUS3 (Protein FUSCA3)
Q9LX29	7A0J;	ACR4 At3g59420 F25L23.280 Serine/threonine-protein kinase-like protein ACR4, EC 2.7.11.1 (Protein CRINKLY 4, AtCR4)
Q9LXT4	6SBP;7CHI;	PCO5 At3g58670 T20N10.20 Plant cysteine oxidase 5, AtPCO5, EC 1.13.11.20
Q9LY23	4FRF;	IPK2a IP3K IPMK At5g07370 T2I1.80 Inositol polyphosphate multikinase alpha, EC 2.7.1.140, EC 2.7.1.151 (Inositol polyphosphate 6-/3-/5-kinase alpha, AtIpk2-alpha, AtIpk2alpha)
Q9LY46	6CCI;	ESK1 TBL29 XOAT1 At3g55990 F27K19.170 Xylan O-acetyltransferase 1, EC 2.3.1.- (Protein ESKIMO 1) (Protein trichome birefringence-like 29)
Q9LYU4	4EPM;4EQ4;4EQL;4EWV;4L39;6OMS;	GH3.12 GDG1 PBS3 WIN3 At5g13320 T22N19.5 T31B5.140 4-substituted benzoates-glutamate ligase GH3.12, EC 6.3.2.- (Auxin-responsive GH3-like protein 12, AtGH3-12) (Protein GH3-LIKE DEFENSE GENE 1) (Protein GRETCHEN HAGEN 3.12) (Protein HOPW1-1-INTERACTING 3) (Protein avrPPHB SUSCEPTIBLE 3)
Q9LYU8	2CDQ;	AK1 AK AK-LYS1 At5g13280 T31B5.100 Aspartokinase 1, chloroplastic, EC 2.7.2.4 (Aspartate kinase 1)
Q9LZD3	4RL5;	EXO70A1 At5g03540 F12E4.320 Exocyst complex component EXO70A1, AtExo70a1 (Exocyst subunit Exo70 family protein A1)
Q9LZJ3	6BSU;6BSV;6BSW;	XXT1 XT1 At3g62720 F26K9_150 Xyloglucan 6-xylosyltransferase 1, AtXT1, EC 2.4.2.39
Q9LZP9	2LJ9;3QV1;3RVD;6KEZ;	CP12-2 At3g62410 T12C14.110 Calvin cycle protein CP12-2, chloroplastic (CP12 domain-containing protein 2) (Chloroplast protein 12-2)
Q9LZW4	2ZFD;	CIPK14 PKS24 SnRK3.15 SR1 At5g01820 T20L15.90 CBL-interacting serine/threonine-protein kinase 14, EC 2.7.11.1 (SNF1-related kinase 3.15) (SOS2-like protein kinase PKS24) (Serine/threonine-protein kinase SR1, AtSR1)
Q9M156	2VCE;2VCH;2VG8;	UGT72B1 At4g01070 F2N1.15 UDP-glycosyltransferase 72B1, EC 2.4.1.- (Arbutin synthase) (Probable hydroquinone glucosyltransferase, EC 2.4.1.218)
Q9M158	1VEE;2DCQ;	STR4 TROL At4g01050 F2N1.31 Rhodanese-like domain-containing protein 4, chloroplastic (Protein THYLAKOID RHODANESE-LIKE) (Sulfurtransferase 4, AtStr4)
Q9M1L7	5WLS;	PRK3 At3g42880 F18P9.40 Pollen receptor-like kinase 3, AtPRK3, EC 2.7.11.1
Q9M1V3	7O4E;7O4F;	PCMP-H83 OTP86 At3g63370 F16M2_220 Pentatricopeptide repeat-containing protein At3g63370, chloroplastic (Protein ORGANELLE TRANSCRIPT PROCESSING 86)
Q9M384	5B3G;5B3H;	SCR SGR1 At3g54220 F24B22.180 Protein SCARECROW, AtSCR (GRAS family protein 20, AtGRAS-20) (Protein SHOOT GRAVITROPISM 1)
Q9M548	7L4C;7L4F;7L4H;7L4K;7L4M;7L4N;	DRM2 At5g14620/At5g14630 T15N1.110/T15N1.120 DNA (cytosine-5)-methyltransferase DRM2, EC 2.1.1.37 (Protein DOMAINS REARRANGED METHYLASE 2)
Q9M622	7BVW;	RMR1 JR700 At5g66160 K2A18.24 Receptor homology region, transmembrane domain- and RING domain-containing protein 1, AtRMR1 (ReMembR-H2 protein JR700)
Q9M658	3VEM;	MOM1 MOM At1g08060 T6D22.14 Helicase protein MOM1, EC 3.6.4.- (Protein MAINTENANCE OF METHYLATION) (Protein MORPHEUS MOLECULE 1)
Q9M8R4	3UK7;4OFW;4OGG;	DJ1D At3g02720 F13E7.34 Protein DJ-1 homolog D, AtDJ1D (Lactoylglutathione lyase DJ1D, EC 4.4.1.5)
Q9M9P3	1Z90;2ICX;2ICY;2Q4J;	UGP2 At3g03250 T17B22.6 UTP--glucose-1-phosphate uridylyltransferase 2, EC 2.7.7.9 (UDP-glucose pyrophosphorylase 2, AtUGP2, UDPGP 2, UGPase 2)
Q9M9S3	4KOO;	WHY1 PTAC1 At1g14410 F14L17.18 Single-stranded DNA-binding protein WHY1, chloroplastic (Protein PLASTID TRANSCRIPTIONALLY ACTIVE 1) (Protein WHIRLY 1, AtWHY1)
Q9M9Y4	5Y53;	DRIP1 At1g06770 F4H5.14 E3 ubiquitin protein ligase DRIP1, EC 2.3.2.27 (DREB2A-interacting protein 1) (RING-type E3 ubiquitin transferase DRIP1)
Q9MAA7	2ZSH;2ZSI;	GID1A CXE10 GID1L1 At3g05120 T12H1.8 Gibberellin receptor GID1A, EC 3.-.-.- (AtCXE10) (Carboxylesterase 10) (GID1-like protein 1) (Protein GA INSENSITIVE DWARF 1A, AtGID1A)
Q9MAT5	3R0Q;	PRMT10 PRMT4.2 At1g04870 F13M7.14 F13M7_12 Protein arginine N-methyltransferase PRMT10, EC 2.1.1.319
Q9S7B5	1E5X;2C2B;2C2G;	TS1 MTO2 At4g29840 F27B13.80 Threonine synthase 1, chloroplastic, EC 4.2.3.1 (Protein METHIONINE OVER-ACCUMULATOR 2)
Q9S7E4	3JTM;3N7U;3NAQ;	FDH1 FDH At5g14780 T9L3_80 Formate dehydrogenase, chloroplastic/mitochondrial, FDH, EC 1.17.1.9 (NAD-dependent formate dehydrogenase)
Q9S7J8	3DXS;	RAN1 HMA7 At5g44790 K23L20.14 T19K24.18 Copper-transporting ATPase RAN1, EC 7.2.2.8 (Protein HEAVY METAL ATPASE 7) (Protein RESPONSIVE TO ANTAGONIST 1)
Q9S7M0	7OUI;	LHCB3 At5g54270 MDK4.9 Chlorophyll a-b binding protein 3, chloroplastic (Light-harvesting chlorophyll B-binding protein 3, LHCB3*1, Lhcb3)
